Property,Sum - Count
http://purl.org/dc/terms/coverage,49229
http://creativecommons.org/ns#license,48951
http://govwild.org/ontology/gender,48439
http://creativecommons.org/ns#attributionURL,48367
http://creativecommons.org/ns#attributionName,48362
http://www.w3.org/2004/02/skos/core#semanticRelation,48038
http://eprints.org/relation/hasVersion,47600
http://eprints.org/relation/hasVolatileVersion,47599
http://purl.org/ontology/mo/published_as,47445
http://purl.org/ontology/mo/recorded_as,46760
http://www.fer.hr/projekt#description,46713
http://www.aktors.org/ontology/portal#edited-by,46532
http://purl.org/NET/c4dm/timeline.owl#onTimeLine,45634
http://purl.org/ontology/mo/license,45634
http://purl.org/ontology/mo/time,45634
http://purl.org/ontology/mo/track,45634
http://purl.org/ontology/mo/track_number,45634
http://data.linkedmdb.org/resource/movie/film_cut_film_cutid,45259
http://www.w3.org/2006/vcard/ns#url,43847
http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymITIS,43726
http://dbpedia.org/property/birthPlace,43039
http://iflastandards.info/ns/isbd/elements/P1073,42995
http://dbpedia.org/property/hasPhotoCollection,42984
http://govwild.org/ontology/birthDate,42643
http://purl.org/ontology/bibo/status,41884
http://worldbank.270a.info/property/status,41437
http://iflastandards.info/ns/isbd/elements/P1034,41363
http://www.w3.org/2004/02/skos/core#exactMatch,41185
http://govwild.org/ontology/congressNumber,41043
http://sw.opencyc.org/concept/wikipediaArticleURL,41039
http://www.fer.hr/projekt#ownerOrganization,40509
http://www.fer.hr/projekt#ownsCourse,40509
http://govwild.org/ontology/middleName,40379
http://iflastandards.info/ns/isbd/elements/P1138,40323
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,39948
http://creativecommons.org/ns#morePermissions,39823
http://data.linkedmdb.org/resource/movie/actor_netflix_id,38844
http://data.linkedmdb.org/resource/movie/actor_nytimes_id,38844
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#updateDate,38705
http://www.w3.org/2008/05/skos-xl#prefLabel,38692
http://lod.taxonconcept.org/ontology/txn.owl#thumbnail,38289
http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymWorMS,38052
http://education.data.gov.uk/def/school/establishmentNumber,38020
http://dbpedia.org/property/birth,37860
http://purl.org/dc/terms/tableOfContents,37611
http://purl.org/NET/scovo#datasetOf,37389
http://semantic-mediawiki.org/swivt/1.0#page,37254
http://semantic-mediawiki.org/swivt/1.0#wikiNamespace,37254
http://www.fer.hr/projekt#ects,35748
